country, population
China,1376060000
India,1287660000
United States,323292000
Indonesia,258705000
Brazil,205948000
Pakistan,193387942
Nigeria,186988000
Bangladesh,160254000
Russia,146544710
Japan,126920000
Mexico,122273500
Philippines,103132600
Ethiopia,92206005
Vietnam,91700000
Egypt,90815100
Democratic Republic of the Congo,85026000
Germany,81459000
Iran,79173600
Turkey,78741053
Thailand,65279812
United Kingdom,65097000
France (Metropolitan),64543000
Italy,60676361
Tanzania,55155000
South Africa,54956900
Myanmar,54363000
South Korea,51569536
Colombia,48622500
Kenya,47251000
Spain,46423064
Argentina,43590400
Ukraine,42721954
Algeria,40400000
Sudan,39598700
Poland,38484000
Iraq,36575000
Canada,36048521
Uganda,34856813
Morocco,33337529
Saudi Arabia,32248200
Peru,31488700
Venezuela,31028700
Uzbekistan,31576400
Malaysia,30925000
Nepal,28431500
Ghana,27670174
Yemen,27478000
Afghanistan,27101365
Mozambique,26423700
Angola,25868000
North Korea,25281000
Australia,24058200
Cameroon,23924000
Taiwan,23496813
Ivory Coast,22671331
Madagascar,22434363
Sri Lanka,20811000
Niger,20715000
Romania,19861000
Burkina Faso,19034397
Syria,18564000
Chile,18191900
Mali,18135000
Kazakhstan,17713700
Netherlands,17005400
Malawi,16832910
Ecuador,16278844
Guatemala,16176133
Zimbabwe,15967000
Zambia,15933883
Cambodia,15626444
Senegal,14799859
Chad,14497000
Guinea,12947000
South Sudan,12131000
Rwanda,11553188
Belgium,11312444
Cuba,11238317
Somalia,11079000
Haiti,11078033
Bolivia,10985059
Tunisia,10982754
Greece,10846979
Benin,10653654
Czech Republic,10553843
Portugal,10374822
Burundi,10114505
Dominican Republic,10075045
Sweden,9866670
United Arab Emirates,9856000
Hungary,9849000
Azerbaijan,9713500
Jordan,9531712
Belarus,9498700
Austria,8699730
Honduras,8576532
Israel,8489400
Tajikistan,8352000
Switzerland,8306200
Papua New Guinea,8083700
Bulgaria,7202198
Togo,7143000
Serbia,7114393
Paraguay,6854536
Sierra Leone,6592000
El Salvador,6520675
Laos,6472400
Libya,6385
Nicaragua,6198154
Kyrgyzstan,6028800
Lebanon,5988000
Denmark,5707251
Singapore,5535000
Finland,5491830
Slovakia,5426252
Eritrea,5352000
Norway,5213985
Central African Republic,4998000
Costa Rica,4832234
Turkmenistan,4751120
Republic of the Congo,4741000
New Zealand,4681250
Ireland,4635400
Liberia,4615000
Oman,4416261
Croatia,4225316
Kuwait,4183658
Panama,3814672
Bosnia and Herzegovina,3791622
Georgia,3729500
Mauritania,3718678
Moldova,3553100
Uruguay,3480222
Mongolia,3079100
Armenia,2998600
Albania,2886026
Lithuania,2878696
Jamaica,2723246
Qatar,2526994
Namibia,2324400
Botswana,2141206
Slovenia,2070378
Macedonia,2069172
Latvia,1967000
Lesotho,1894194
The Gambia,1882450
Kosovo,1836978
Gabon,1802278
Guinea-Bissau,1547777
Bahrain,1404900
Trinidad and Tobago,1349667
Estonia,1311759
Mauritius,1262879
Equatorial Guinea,1222442
East Timor,1167242
Swaziland,1132657
Djibouti,900
Fiji,867
Cyprus,847
Comoros,806153
Bhutan,772740
Guyana,746900
Solomon Islands,642
Montenegro,621810
Luxembourg,576200
Suriname,534189
Cape Verde,531239
Western Sahara,510713
Malta,445426
Brunei,411900
The Bahamas,393
Belize,368310
Maldives,341256
Iceland,332529
Barbados,285
Vanuatu,277500
Samoa,187820
Sao Tome and Principe,187356
Saint Lucia,186
Kiribati,113400
Saint Vincent and the Grenadines,109991
Grenada,103328
Tonga,103252
Federated States of Micronesia,102800
Seychelles,91400
Antigua and Barbuda,86295
Andorra,71732
Dominica,71293
Marshall Islands,54880
Saint Kitts and Nevis,46204
Monaco,37800
Liechtenstein,37623
San Marino,33005
Cook Islands,19100
Palau,17950
Tuvalu,10640
Nauru,10084
Niue,1470
Vatican City,839
